CodigoArticulo,DESCRIPCION,PRESENTACION,Precios,GrupoTerapeutico,Año
9162,Claritromicina ,Tableta 500 mg,RD$5.00,Antibacteriano/Antibioticos,2022
9163,Claritromicina 250 mg/5mL Suspension,Frasco 60 ml,RD$90.00,Antibacteriano/Antibioticos,2022
9164,Clindamicina  ,Capsula 300 mg,RD$5.00,Antibacteriano/Antibioticos,2022
10281,Clindamicina Óvulo,Ovulo 100 mg,RD$10.00,Antibacteriano/Antibioticos,2022
9350,Clopidogrel ,Tableta 75 mg,RD$1.50,Cardiovasculares/Antiagregante Plaquetario,2022
10233,Clorpromazina ,Tableta 25 mg,RD$6.00,Antipsicoticos,2022
1781,Clorpromazina ,Tableta 100m,RD$7.00,Antipsicoticos,2022
10245,Clorpromazina ,Tableta 200 mg,RD$15.00,Antipsicoticos,2022
10233,Clorpromazina ,Tableta 25 mg,RD$6.00,Antipsicoticos,2022
9244,Cloruro de Sodio 6.5 mg/ mL Gotas Nasales,Frasco Gotero 15 ml,RD$15.00,"FLuidificante, Descongestionante",2022
1471,Clotrimazol 1%  Crema,Tubo 30g,RD$10.00,Antifungicos,2022
1475,Clotrimazol 1% Solucion,Frasco Gotero 20 ml,RD$12.00,Antifungicos,2022
10231,Clotrimazol Ovulos ,Ovulo 500 mg,RD$6.00,Antifungicos,2022
9493,Codera Larga Unidad,Unidad,RD$180.00,Insumos Ortopédicos,2022
9492,Codera Mediana Unidad,Unidad,RD$180.00,Insumos Ortopédicos,2022
9498,Collarín Blando Largo,Unidad,RD$100.00,Insumos Ortopédicos,2022
9497,Collarín Blando Mediano,Unidad,RD$100.00,Insumos Ortopédicos,2022
9499,Collarín Rígido Ajustable Grande,Unidad,RD$350.00,Insumos Ortopédicos,2022
1900,"Complejo B (Vit.B1 100 mg, B2 10 mg,  B6 10mg, Nicotinamida",Vial 10 ml,RD$20.00,Vitaminas,2022
1898,Complejo B (Vit.B1 15mg + B2 1mg + B6 2.6mg + B12 2mcg + Nicotinamida 10mg),Tableta ,RD$0.50,Vitaminas,2022
1899,Complejo B (Vit.B1 50 mg + B6 50 mg + B12 200mcg ) 15 mL Jbe,Frasco 120 ml,RD$15.00,Vitaminas,2022
1784,Decanoato de Flufenazina ,Ampolla 25 mg/ml,RD$400.00,Antipsicótico,2022
9404,Deflazacort 6 mg Tableta Blíster,,,Corticosteroide,2022
1638,Dexametasona ,Tableta 0.5 mg,RD$1.50,Antiinflamatorio Esteroideo,2022
9299,DEXAMETASONA ,Tableta 4 mg,RD$5.00,Antiinflamatorio Esteroideo,2022
10250,Dexametasona Fosfato Sódico Iny. IM-IV,Ampolla 4 mg/ml,RD$5.00,Antiinflamatorio Esteroideo,2022
1876,Dextrosa al 50%  i.v.,Vial 20 ml,RD$15.00,"Soluciones Correctoras Desordenes de Agua, Electrolitos, y Acido Base",2022
1045,Diclofenac Sódico ,Ampolla 75 mg/3 ml,RD$2.00,Antiinflamatorio No Esteroides,2022
1043,Diclofenaco Dietilamonio1.16% Gel,Tubo 20 g,RD$10.00,Antiinflamatorio No Esteroides,2022
1047,Diclofenaco Sodico ,Tableta 50 mg,RD$0.20,Antiinflamatorio No Esteroides,2022
1168,Dicloxacilina ,Capsula 500 mg,RD$4.00,Antibacteriano/Antibioticos,2022
9333,Difenhidramina ,Tableta 25 mg,RD$0.50,Antihistamínico,2022
1852,Difenhidramina 10 mg/ml,Ampolla 2 ml,RD$10.00,Antihistamínico,2022
1851,Difenhidramina 12.5 mg/5mL,Frasco 60 ml,RD$15.00,Antihistamínico,2022
1441,Digoxina ,Tableta 0.25 mg,RD$1.00,Cardiovasculares/Antiarritmicos,2022
1598,Dimenhidrinato ,Tableta 50 mg,RD$0.50,Antihistamínico,2022
9413,Dimenhidrinato 15 mg/5 ml Jarabe,Frasco 60 ml,RD$15.00,Antihistamínico,2022
1170,Doxiciclina ,Capsula 100 mg,RD$1.00,Antibacteriano/Antibioticos,2022
1434,Enalapril Maleato ,Tableta 10 mg,RD$0.20,Cardiovasculares/Antihipertensivo,2022
1435,Enalapril Maleato  ,Tableta 20  mg,RD$0.20,Cardiovasculares/Antihipertensivo,2022
1173,Eritromicina  250 mg/5 mL,Frasco 120 ml,RD$50.00,Antibacteriano/Antibioticos,2022
10262,Eritromicina Estearato ,Tableta 500 mg,RD$5.00,Antibacteriano/Antibioticos,2022
9170,Eritropoyetina Humana  Jeringa Precargada,Ampolla 4000 UI/0.3 ml,RD$135.00,Antianémico,2022
11002,Eritropoyetina Humana Liofilizada,Vial,RD$550.00,Antianémico,2022
9102,Espirómetro,Unidad,RD$200.00,Insumo Hospitalario,2022
9369,Espironolactona ,Tableta 100 mg,RD$4.00,Cardiovasculares/Diurético,2022
9793,Espironolactona ,Tableta 25 mg,RD$2.00,Cardiovasculares/Diurético,2022
9337,Estrogenos Conjugados ,Tableta 0.625 mg,RD$5.00,Hormonas Estrogenas,2022
Hormonas Contraceptivas,Etinilestradiol + Levonorgestrel ,Tableta 30mcg/150 mcg,RD$20.00,Hormonas Contraceptivas,2022
1106,Fenitoína Sódica ,Tableta 100 mg,RD$8.00,Antiepiléptico,2022
9727,Fenitoina Sodica  125 mg/5mL Susp. Oral,Frasco 120 ml,RD$200.00,Antiepiléptico,2022
1256,Fluconazol  ,Capsula 150 mg,RD$2.50,Antifungicos,2022
9741,Fluconazol 50 mg/5mL Susp. Oral,Frasco 60 ml,RD$200.00,Antifungicos,2022
9181,Fluoxetina ,Tableta 20 mg,RD$6.00,Antidepresivo/Trastorno del humor,2022
9736,Fosfomicina ,Tableta 500 mg,RD$10.00,Antibacteriano/Antibioticos,2022
9735,Fosfomicina  250 mg/5ml Susp. Oral,Frasco 120 ml,RD$140.00,Antibacteriano/Antibioticos,2022
1574,Furosemida ,Tableta 40 mg,RD$0.30,Cardiovasculares/Diurético,2022
9063,Gasa Precortada 4 X 4 Sobre,Sobre 10 Unidades,RD$10.00,Insumo Hospitalario,2022
9808,Gentamicina 3mg/ml Gotas Oftalmicas,Frasco Gotero 5 ml,RD$30.00,Aminoglucósidos,2022
1175,Gentamicina Sulfato 40 mg/mL,Ampolla 8 mg/2 ml,RD$3.00,Aminoglucósidos,2022
1662,Glibenclamida 5 mg,Tableta 5 mg,RD$0.20,Insulinas y otros Hipoglucemiante,2022
9745,Gotas Oticas (Polimixina+Neomicina),Frasco Gotero 10 ml,RD$125.00,"Antibiotico, Anestesico, Antimicotico",2022
10264,Griseofulvina ,Tableta 500mg,RD$7.00,Antifungicos,2022
2167,Guante Examen Medium # 71/2,Par,RD$3.00,Insumo Hospitalario,2022
10771,Guantes de Goma Nitrilo talla M C/100 unidad,Par,RD$10.00,Insumo Hospitalario,2022
10764,"Guantes de Goma, Nitrilo talla L C/100 Unidad",Par,RD$10.00,Insumo Hospitalario,2022
